name,url
Diabloceratops,https://en.wikipedia.org/wiki/Diabloceratops
Diamantinasaurus,https://en.wikipedia.org/wiki/Diamantinasaurus
Dianchungosaurus,https://en.wikipedia.org/wiki/Dianchungosaurus
Diapsid,https://en.wikipedia.org/wiki/Diapsid
Diclonius,https://en.wikipedia.org/wiki/Diclonius
Dicraeosaurus,https://en.wikipedia.org/wiki/Dicraeosaurus
Dilong paradoxus,https://en.wikipedia.org/wiki/Dilong_paradoxus
Dilophosaurus,https://en.wikipedia.org/wiki/Dilophosaurus
Diluvicursor,https://en.wikipedia.org/wiki/Diluvicursor
Dimetrodon,https://en.wikipedia.org/wiki/Dimetrodon
Dineobellator,https://en.wikipedia.org/wiki/Dineobellator
Dinheirosaurus,https://en.wikipedia.org/wiki/Dinheirosaurus
Dinodocus,https://en.wikipedia.org/wiki/Dinodocus
Diplodocus,https://en.wikipedia.org/wiki/Diplodocus
Diplotomodon,https://en.wikipedia.org/wiki/Diplotomodon
Dolichosuchus,https://en.wikipedia.org/wiki/Dolichosuchus
Dongbeititan,https://en.wikipedia.org/wiki/Dongbeititan
Dongyangopelta,https://en.wikipedia.org/wiki/Dongyangopelta
Dongyangosaurus,https://en.wikipedia.org/wiki/Dongyangosaurus
Doratodon,https://en.wikipedia.org/wiki/Doratodon
Draconyx,https://en.wikipedia.org/wiki/Draconyx
Dracopelta,https://en.wikipedia.org/wiki/Dracopelta
Dracoraptor,https://en.wikipedia.org/wiki/Dracoraptor
Dracovenator,https://en.wikipedia.org/wiki/Dracovenator
Dravidosaurus,https://en.wikipedia.org/wiki/Dravidosaurus
Dreadnoughtus,https://en.wikipedia.org/wiki/Dreadnoughtus
Dromaeosauroides,https://en.wikipedia.org/wiki/Dromaeosauroides
Dromaeosaurus,https://en.wikipedia.org/wiki/Dromaeosaurus
Dromiceiomimus,https://en.wikipedia.org/wiki/Dromiceiomimus
Drusilasaura,https://en.wikipedia.org/wiki/Drusilasaura
Dryosaurus,https://en.wikipedia.org/wiki/Dryosaurus
Dryptosauroides,https://en.wikipedia.org/wiki/Dryptosauroides
Dryptosaurus,https://en.wikipedia.org/wiki/Dryptosaurus
Dubreuillosaurus,https://en.wikipedia.org/wiki/Dubreuillosaurus
Duriatitan,https://en.wikipedia.org/wiki/Duriatitan
Duriavenator,https://en.wikipedia.org/wiki/Duriavenator
Dynamoterror,https://en.wikipedia.org/wiki/Dynamoterror
Dyoplosaurus,https://en.wikipedia.org/wiki/Dyoplosaurus
Dysalotosaurus,https://en.wikipedia.org/wiki/Dysalotosaurus
Dysganus,https://en.wikipedia.org/wiki/Dysganus
Dyslocosaurus,https://en.wikipedia.org/wiki/Dyslocosaurus
Dystrophaeus,https://en.wikipedia.org/wiki/Dystrophaeus
Dzharaonyx,https://en.wikipedia.org/wiki/Dzharaonyx
Dzharatitanis,https://en.wikipedia.org/wiki/Dzharatitanis
Echinodon,https://en.wikipedia.org/wiki/Echinodon
Edmontonia,https://en.wikipedia.org/wiki/Edmontonia
Edmontosaurus,https://en.wikipedia.org/wiki/Edmontosaurus
Efraasia,https://en.wikipedia.org/wiki/Efraasia
Einiosaurus,https://en.wikipedia.org/wiki/Einiosaurus
Ekrixinatosaurus,https://en.wikipedia.org/wiki/Ekrixinatosaurus
Elachistosuchus,https://en.wikipedia.org/wiki/Elachistosuchus
Elaltitan,https://en.wikipedia.org/wiki/Elaltitan
Elaphrosaurus,https://en.wikipedia.org/wiki/Elaphrosaurus
Elemgasem,https://en.wikipedia.org/wiki/Elemgasem
Elmisaurus,https://en.wikipedia.org/wiki/Elmisaurus
Elopteryx,https://en.wikipedia.org/wiki/Elopteryx
Elrhazosaurus,https://en.wikipedia.org/wiki/Elrhazosaurus
Emausaurus,https://en.wikipedia.org/wiki/Emausaurus
Embasaurus,https://en.wikipedia.org/wiki/Embasaurus
Enigmosaurus,https://en.wikipedia.org/wiki/Enigmosaurus
Eoabelisaurus,https://en.wikipedia.org/wiki/Eoabelisaurus
Eocarcharia,https://en.wikipedia.org/wiki/Eocarcharia
Eocursor,https://en.wikipedia.org/wiki/Eocursor
Eodromaeus,https://en.wikipedia.org/wiki/Eodromaeus
Eolambia,https://en.wikipedia.org/wiki/Eolambia
Eomamenchisaurus,https://en.wikipedia.org/wiki/Eomamenchisaurus
Eoraptor,https://en.wikipedia.org/wiki/Eoraptor
Eosinopteryx,https://en.wikipedia.org/wiki/Eosinopteryx
Eotrachodon,https://en.wikipedia.org/wiki/Eotrachodon
Eotriceratops,https://en.wikipedia.org/wiki/Eotriceratops
Eotyrannus,https://en.wikipedia.org/wiki/Eotyrannus
Eousdryosaurus,https://en.wikipedia.org/wiki/Eousdryosaurus
Epachthosaurus,https://en.wikipedia.org/wiki/Epachthosaurus
